MUNICIPIO,MESOREGIAO,MICROREGIAO,CODIGO
PORTO VERA CRUZ,4301,430101,431507
PORTO XAVIER,4301,430106,431510
POUSO NOVO,4304,430421,431513
PRESIDENTE LUCENA,4305,430524,431514
PROGRESSO,4304,430421,431515
PROTASIO ALVES,4302,430214,431517
PUTINGA,4302,430214,431520
QUARAI,4306,430629,431530
QUATRO IRMAOS,4301,430104,431531
QUEVEDOS,4303,430317,431532
QUINZE DE NOVEMBRO,4301,430111,431535
REDENTORA,4301,430102,431540
RELVADO,4304,430421,431545
RESTINGA SECA,4303,430319,431550
RIO DOS INDIOS,4301,430103,431555
RIO GRANDE,4307,430735,431560
RIO PARDO,4304,430422,431570
RIOZINHO,4305,430524,431575
ROCA SALES,4304,430421,431580
RODEIO BONITO,4301,430103,431590
ROLADOR,4301,430107,431595
ROLANTE,4305,430524,431600
RONDA ALTA,4301,430110,431610
RONDINHA,4301,430103,431620
ROQUE GONZALES,4301,430106,431630
ROSARIO DO SUL,4306,430630,431640
SAGRADA FAMILIA,4301,430109,431642
SALDANHA MARINHO,4301,430111,431643
SALTO DO JACUI,4301,430111,431645
SALVADOR DAS MISSOES,4301,430106,431647
SALVADOR DO SUL,4305,430523,431650
SANANDUVA,4301,430105,431660
SANTA BARBARA DO SUL,4301,430111,431670
SANTA CECILIA DO SUL,4301,430110,431673
SANTA CLARA DO SUL,4304,430421,431675
SANTA CRUZ DO SUL,4304,430420,431680
SANTA MARIA,4303,430318,431690
SANTA MARIA DO HERVAL,4305,430524,431695
SANTA MARGARIDA DO SUL,4306,430630,431697
SANTANA DA BOA VISTA,4307,430732,431700
SANTANA DO LIVRAMENTO,4306,430630,431710
SANTA ROSA,4301,430101,431720
SANTA TEREZA,4302,430216,431725
SANTA VITORIA DO PALMAR,4307,430735,431730
SANTIAGO,4303,430317,431740
SANTO ANGELO,4301,430107,431750
SANTO ANTONIO DO PALMA,4301,430110,431755
SANTO ANTONIO DA PATRULHA,4305,430527,431760
SANTO ANTONIO DAS MISSOES,4301,430107,431770
SANTO ANTONIO DO PLANALTO,4301,430109,431775
SANTO AUGUSTO,4301,430108,431780
SANTO CRISTO,4301,430101,431790
SANTO EXPEDITO DO SUL,4301,430105,431795
SAO BORJA,4306,430629,431800
SAO DOMINGOS DO SUL,4301,430110,431805
SAO FRANCISCO DE ASSIS,4306,430629,431810
SAO FRANCISCO DE PAULA,4302,430215,431820
SAO GABRIEL,4306,430630,431830
SAO JERONIMO,4305,430525,431840
SAO JOAO DA URTIGA,4301,430105,431842
SAO JOAO DO POLESINE,4303,430319,431843
SAO JORGE,4302,430214,431844
SAO JOSE DAS MISSOES,4301,430109,431845
SAO JOSE DO HERVAL,4301,430113,431846
SAO JOSE DO HORTENCIO,4305,430523,431848
SAO JOSE DO INHACORA,4301,430101,431849
SAO JOSE DO NORTE,4307,430735,431850
SAO JOSE DO OURO,4301,430105,431860
SAO JOSE DO SUL,4305,430523,431861
SAO JOSE DOS AUSENTES,4302,430215,431862
SAO LEOPOLDO,4305,430526,431870
SAO LOURENCO DO SUL,4307,430733,431880
SAO LUIZ GONZAGA,4301,430107,431890
SAO MARCOS,4302,430216,431900
SAO MARTINHO,4301,430102,431910
SAO MARTINHO DA SERRA,4303,430318,431912
SAO MIGUEL DAS MISSOES,4301,430107,431915
SAO NICOLAU,4301,430107,431920
SAO PAULO DAS MISSOES,4301,430106,431930
SAO PEDRO DA SERRA,4305,430523,431935
SAO PEDRO DAS MISSOES,4301,430109,431936
SAO PEDRO DO BUTIA,4301,430106,431937
SAO PEDRO DO SUL,4303,430318,431940
SAO SEBASTIAO DO CAI,4305,430523,431950
SAO SEPE,4303,430318,431960
SAO VALENTIM,4301,430104,431970
SAO VALENTIM DO SUL,4302,430214,431971
SAO VALERIO DO SUL,4301,430108,431973
SAO VENDELINO,4305,430523,431975
SAO VICENTE DO SUL,4303,430318,431980
SAPIRANGA,4305,430526,431990
SAPUCAIA DO SUL,4305,430526,432000
SARANDI,4301,430109,432010
SEBERI,4301,430103,432020
SEDE NOVA,4301,430102,432023
SEGREDO,4304,430420,432026
SELBACH,4301,430112,432030
SENADOR SALGADO FILHO,4301,430107,432032
SENTINELA DO SUL,4305,430528,432035
SERAFINA CORREA,4302,430214,432040
SERIO,4304,430421,432045
SERTAO,4301,430110,432050
SERTAO SANTANA,4305,430526,432055
SETE DE SETEMBRO,4301,430106,432057
SEVERIANO DE ALMEIDA,4301,430104,432060
SILVEIRA MARTINS,4303,430319,432065
SINIMBU,4304,430420,432067
SOBRADINHO,4304,430420,432070
SOLEDADE,4301,430113,432080
TABAI,4304,430421,432085
TAPEJARA,4301,430110,432090
TAPERA,4301,430112,432100
TAPES,4305,430528,432110
TAQUARA,4305,430524,432120
TAQUARI,4304,430421,432130
TAQUARUCU DO SUL,4301,430103,432132
TAVARES,4305,430527,432135
TENENTE PORTELA,4301,430102,432140
TERRA DE AREIA,4305,430527,432143
TEUTONIA,4304,430421,432145
TIO HUGO,4301,430112,432146
TIRADENTES DO SUL,4301,430102,432147
TOROPI,4303,430318,432149
TORRES,4305,430527,432150
TRAMANDAI,4305,430527,432160
TRAVESSEIRO,4304,430421,432162
TRES ARROIOS,4301,430104,432163
TRES CACHOEIRAS,4305,430527,432166
TRES COROAS,4305,430524,432170
TRES DE MAIO,4301,430101,432180
TRES FORQUILHAS,4305,430527,432183
TRES PALMEIRAS,4301,430103,432185
TRES PASSOS,4301,430102,432190
TRINDADE DO SUL,4301,430103,432195
TRIUNFO,4305,430525,432200
TUCUNDUVA,4301,430101,432210
TUNAS,4301,430113,432215
TUPANCI DO SUL,4301,430105,432218
TUPANCIRETA,4303,430317,432220
TUPANDI,4305,430523,432225
TUPARENDI,4301,430101,432230
TURUCU,4307,430733,432232
UBIRETAMA,4301,430107,432234
UNIAO DA SERRA,4302,430214,432235
UNISTALDA,4303,430317,432237
URUGUAIANA,4306,430629,432240
VACARIA,4302,430215,432250
VALE VERDE,4305,430525,432252
VALE DO SOL,4304,430420,432253
VALE REAL,4305,430523,432254
VANINI,4301,430110,432255
VENANCIO AIRES,4304,430420,432260
VERA CRUZ,4304,430420,432270
VERANOPOLIS,4302,430216,432280
VESPASIANO CORREA,4304,430421,432285
VIADUTOS,4301,430104,432290
VIAMAO,4305,430526,432300
VICENTE DUTRA,4301,430103,432310
VICTOR GRAEFF,4301,430112,432320
VILA FLORES,4302,430216,432330
VILA LANGARO,4301,430110,432335
VILA MARIA,4301,430110,432340
VILA NOVA DO SUL,4303,430318,432345
VISTA ALEGRE,4301,430103,432350
VISTA ALEGRE DO PRATA,4302,430214,432360
VISTA GAUCHA,4301,430102,432370
VITORIA DAS MISSOES,4301,430107,432375
WESTFALIA,4304,430421,432377
XANGRI-LA,4305,430527,432380
