NOME,POPULATION
"PORTO VERA CRUZ",1852
"PORTO XAVIER",10560
"PORTAO",30881
"POUSO NOVO",1875
"POCO DAS ANTAS",2017
"PRESIDENTE LUCENA",2485
"PROGRESSO",6161
"PROTASIO ALVES",2000
"PUTINGA",4147
"QUARAI",23021
"QUATRO IRMAOS",1778
"QUEVEDOS",2710
"QUINZE DE NOVEMBRO",3653
"REDENTORA",10222
"RELVADO",2155
"RESTINGA SECA",15850
"RIO DOS INDIOS",3616
"RIO GRANDE",198048
"RIO PARDO",37602
"RIOZINHO",4327
"ROCA SALES",10287
"RODEIO BONITO",5743
"ROLADOR",2546
"ROLANTE",19493
"RONDA ALTA",10228
"RONDINHA",5520
"ROQUE GONZALES",7206
"ROSARIO DO SUL",39751
"SAGRADA FAMILIA",2595
"SALDANHA MARINHO",2869
"SALTO DO JACUI",11880
"SALVADOR DAS MISSOES",2669
"SALVADOR DO SUL",6747
"SANANDUVA",15373
"SANTA BARBARA DO SUL",8829
"SANTA CECILIA DO SUL",1655
"SANTA CLARA DO SUL",5692
"SANTA CRUZ DO SUL",118287
"SANTA MARGARIDA DO SUL",2352
"SANTA MARIA",261027
"SANTA MARIA DO HERVAL",6053
"SANTA ROSA",68595
"SANTA TEREZA",1717
"SANTA VITORIA DO PALMAR",31002
"SANTANA DA BOA VISTA",8244
"SANTANA DO LIVRAMENTO",82513
"SANTIAGO",49082
"SANTO ANTONIO DA PATRULHA",39679
"SANTO ANTONIO DAS MISSOES",11210
"SANTO ANTONIO DO PALMA",2139
"SANTO ANTONIO DO PLANALTO",1987
"SANTO AUGUSTO",13970
"SANTO CRISTO",14378
"SANTO EXPEDITO DO SUL",2461
"SANTO ANGELO",76304
"SAPIRANGA",75020
"SAPUCAIA DO SUL",129788
"SARANDI",21312
"SEBERI",10902
"SEDE NOVA",3011
"SEGREDO",7158
"SELBACH",4929
"SENADOR SALGADO FILHO",2814
"SENTINELA DO SUL",5197
"SERAFINA CORREA",14243
"SERTAO",6294
"SERTAO SANTANA",5850
"SETE DE SETEMBRO",2126
"SEVERIANO DE ALMEIDA",3842
"SILVEIRA MARTINS",2452
"SINIMBU",10067
"SOBRADINHO",14285
"SOLEDADE",30065
"SAO BORJA",61671
"SAO DOMINGOS DO SUL",2926
"SAO FRANCISCO DE ASSIS",19258
"SAO FRANCISCO DE PAULA",20570
"SAO GABRIEL",60508
"SAO JERONIMO",22141
"SAO JORGE",2774
"SAO JOSE DAS MISSOES",2720
"SAO JOSE DO HERVAL",2204
"SAO JOSE DO HORTENCIO",4094
"SAO JOSE DO INHACORA",2200
"SAO JOSE DO NORTE",25523
"SAO JOSE DO OURO",6906
"SAO JOSE DO SUL",2082
"SAO JOSE DOS AUSENTES",3290
"SAO JOAO DA URTIGA",4726
"SAO JOAO DO POLESINE",2635
"SAO LEOPOLDO",214210
"SAO LOURENCO DO SUL",43114
"SAO LUIZ GONZAGA",34558
"SAO MARCOS",20105
"SAO MARTINHO",5773
"SAO MARTINHO DA SERRA",3201
"SAO MIGUEL DAS MISSOES",7421
"SAO NICOLAU",5727
"SAO PAULO DAS MISSOES",6367
"SAO PEDRO DA SERRA",3317
"SAO PEDRO DAS MISSOES",1886
"SAO PEDRO DO BUTIA",2873
"SAO PEDRO DO SUL",16371
"SAO SEBASTIAO DO CAI",21944
"SAO SEPE",23798
"SAO VALENTIM",3632
"SAO VALENTIM DO SUL",2168
"SAO VALERIO DO SUL",2647
"SAO VENDELINO",1944
"SAO VICENTE DO SUL",8440
"SERIO",2281
"TABAI",4131
"TAPEJARA",19252
"TAPERA",10452
"TAPES",16649
"TAQUARA",54656
"TAQUARI",26135
"TAQUARUCU DO SUL",2970
"TAVARES",5351
"TENENTE PORTELA",13716
"TERRA DE AREIA",9878
"TEUTONIA",27265
"TIO HUGO",2724
"TIRADENTES DO SUL",6461
"TOROPI",2952
"TORRES",34646
"TRAMANDAI",41655
"TRAVESSEIRO",2314
"TRINDADE DO SUL",5787
"TRIUNFO",25811
"TRES ARROIOS",2855
"TRES CACHOEIRAS",10239
"TRES COROAS",23855
